15,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://yahooohotline.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
16,,,ankama-new.live,AT,ZeroSSL,ZeroSSL RSA Domain Secure Site CA,2,2199075389938437424418184597648799344,b'sha384WithRSAEncryption',b'20210226235959Z',b'20201128000000Z',Google,https://www.ankama-new.live/fr/mmorpg/actualites/Clef-Rutilax/
17,,,vodafone-support-secure.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,185044542050309626562706326123285464134,b'sha256WithRSAEncryption',b'20211129235959Z',b'20201129000000Z',Vodafone,https://vodafone-support-secure.com/
18,,,cx.money,US,Let's Encrypt,Let's Encrypt Authority X3,2,285289150633549784474688250381908051099275,b'sha256WithRSAEncryption',b'20201211092453Z',b'20200912092453Z',Steam,https://cx.money/s/9cZjq18YwVH7FZt?src=aboutblankauth
19,US,"Amazon.com, Inc.",www.amazon.co.jp,US,DigiCert Inc,DigiCert Global CA G2,2,5769881613033434095976240390395081042,b'sha256WithRSAEncryption',b'20211027235959Z',b'20201105000000Z',Amazon.com,http://182.16.110.210/ap/signin?openid.pape.max_auth_age=0&amp;amp;openid.return_to=https%3A%2F%2Fwww.amazon.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&amp;amp;openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.assoc_handle=jpflex&amp;amp;openid.mode=checkid_setup&amp;amp;key=a@b.c&amp;amp;openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&amp;amp;&amp;amp;ref_=nav_em_hd_clc_signin,"http://crl4.digicert.com/DigiCertGlobalCAG2.crl
"
57,,,iemsur.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,412865882753503801564486026102549668633677,b'sha256WithRSAEncryption',b'20210103012045Z',b'20201005012045Z',Other,https://iemsur.com/westpac/login.........
58,,,*.cabledigitaltvlatam.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,426311924441749129262458764235826014077516,b'sha256WithRSAEncryption',b'20210114034544Z',b'20201016034544Z',Other,https://cabledigitaltvlatam.com/nzbank/westpac/one/login.........
59,,,iemsur.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,412865882753503801564486026102549668633677,b'sha256WithRSAEncryption',b'20210103012045Z',b'20201005012045Z',Other,https://iemsur.com/westpac/login/.........
60,,,*.cabledigitaltvlatam.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,426311924441749129262458764235826014077516,b'sha256WithRSAEncryption',b'20210114034544Z',b'20201016034544Z',Other,https://cabledigitaltvlatam.com/nzbank/westpac/one/login/.........
61,,,payqal.us,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,118079837045879258657169095457260820524,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://payqal.us/
62,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://yahoomailservicepostco-operator.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
63,,,haiifax.verification-0dsxff.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,22175389562070487843884016066489811692,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,http://haiifax.verification-0dsxff.com/
64,,,haiifax.verification-0dsxff.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,22175389562070487843884016066489811692,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://haiifax.verification-0dsxff.com/
65,,,haiifax.verification-0dsxff.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,22175389562070487843884016066489811692,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://haiifax.verification-0dsxff.com/Login.php
66,,,www.pair-device-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,225043526724496914485768002702471909103,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://pair-device-online.com/
67,,,www.pair-device-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,225043526724496914485768002702471909103,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,http://pair-device-online.com/
68,,,www.pair-device-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,225043526724496914485768002702471909103,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://pair-device-online.com/Login.php
69,,,reglb-disable.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,34965394696334766002772812115845738296,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://reglb-disable.com/Login.php
70,,,reglb-disable.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,34965394696334766002772812115845738296,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,http://reglb-disable.com/
71,,,secure-auth-portal.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,301565392403022312395628724080971944953,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://secure-auth-portal.com/Login.php
72,,,secure-auth-portal.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,301565392403022312395628724080971944953,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://secure-auth-portal.com/
73,,,haiifax.me,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,227167749232745974379228129983658205086,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://haiifax.me/Login.php
74,,,haiifax.me,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,227167749232745974379228129983658205086,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://haiifax.me/
75,,,testingnewstuff.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,213274671054061434010172581795847504840,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://testingnewstuff.xyz/
76,,,testingnewstuff.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,213274671054061434010172581795847504840,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,http://testingnewstuff.xyz/
77,,,xn--privnot-xya.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,277282834517562007595629169477131760787459,b'sha256WithRSAEncryption',b'20210207172148Z',b'20201109172148Z',Other,https://xn--privnot-xya.com/
78,,,www.amazon-update.shop,US,Let's Encrypt,Let's Encrypt Authority X3,2,404368779148071286125194255659202469715082,b'sha256WithRSAEncryption',b'20210227053121Z',b'20201129053121Z',Amazon.com,https://www.amazon-update.shop/
79,,,diggo.ml,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,28260259158550882599155195465154678936,b'sha256WithRSAEncryption',b'20201216235959Z',b'20191217000000Z',Other,https://diggo.ml/index.html?UYgTFcRWaeSxDXfCCgVhbJNJNinHgbvFtcdRXSEzXgrdhCFTgvHBJNIhgYFctvg
80,,,www.eeuk-id-update056.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,412237311756009619747465242949648149604727,b'sha256WithRSAEncryption',b'20210226140202Z',b'20201128140202Z',Other,https://eeuk-id-update056.com/?e=2
81,,,updateaccountinginfo.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,13163859136370640225281053286115045144,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://updateaccountinginfo.com/
82,US,Google LLC,www.google.co.uk,US,Google Trust Services,GTS CA 1O1,2,172368977289929486104215533046517127290,b'sha256WithRSAEncryption',b'20210126073815Z',b'20201103073815Z',Other,https://updateaccountinginfo.com/Login.php?sslchannel=true&sessionid=ke18TrkR8sH693vHZjOrvgIPbRbWheJ1AAbclZiYn07W0yrJJetvLclPIWfy7cKpgEJWY7FrnvRpbQLJvph2cO0iE9no6EsWNrZJzGxAwol2CRNHw2J3sR5sE4NH2eK9oQ,"http://crl.pki.goog/GTS1O1core.crl
"
83,,,updateaccountinginfo.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,13163859136370640225281053286115045144,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,http://updateaccountinginfo.com/
84,,,slashdot.tk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,332503934178126893671089682621522400427,b'sha256WithRSAEncryption',b'20201216235959Z',b'20191217000000Z',Other,https://slashdot.tk/index.html?UYgTFcRW@eSxD*fCgVhbJNINinHgbvFtcdR*$Ez*grdhCFTgvHBIN|hgYFctvg
85,,,diggo.ml,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,28260259158550882599155195465154678936,b'sha256WithRSAEncryption',b'20201216235959Z',b'20191217000000Z',Other,https://diggo.ml/index.html?UYgTFcRW@eS*D*fCgVhbJNINinHgbvFtcdRX$Ez*grdhCFTgvHBINLhgYFctvg
86,,,demo.wordpresscommunity.tk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,23764471475371924540031224082425178909,b'sha256WithRSAEncryption',b'20210625235959Z',b'20200625000000Z',Other,https://demo.wordpresscommunity.tk/index.html?UYgTFcRWaeSxDXfCgVhbJNJNinHgbvFtcdRXSEzXgrdhCFTgvHBBJNIhgYFctvg
87,,,az9s.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,383545562884355415401714144341575245383390,b'sha256WithRSAEncryption',b'20210125073143Z',b'20201027073143Z',Other,https://amthuc.az9s.com//wp-includes/ID3/MARKET/
88,,,xaydungtamhoanganh.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,166843591630014191342351476258116054210,b'sha256WithRSAEncryption',b'20210205235959Z',b'20201107000000Z',Other,https://xaydungtamhoanganh.com/editor/ckeditor/lang/en-GB/status/reschedule_payment.php,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
89,US,Google LLC,*.blogger.com,US,Google Trust Services,GTS CA 1O1,2,286295735075239948074651363539609998719,b'sha256WithRSAEncryption',b'20210126073308Z',b'20201103073308Z',Other,https://maliktradiktolartilahh.blogspot.com/,"http://crl.pki.goog/GTS1O1core.crl
"
90,,,tipperaryhillapartments.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,134478645219102913438029713240257540732,b'sha256WithRSAEncryption',b'20210325235959Z',b'20200325000000Z',Other,https://tipperaryhillapartments.com/blog/category/uncategorized/status/reschedule_payment.php
91,,,*.wn.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,85004725708364339878430021457532071672,b'sha256WithRSAEncryption',b'20211018235959Z',b'20200917000000Z',Other,http://newdw1.djsxcv1w9ln6s3b.sporttech.pk/?rarara=cGhAcm9vay5jeg==
92,,,*.wn.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,85004725708364339878430021457532071672,b'sha256WithRSAEncryption',b'20211018235959Z',b'20200917000000Z',Other,https://leshauteursdeblida.com/cz/tracking.html
93,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,http://pxfl.de/lockese
94,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://03546vocal121.webador.com/
95,,,anazon.cojp.xswcc.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,353943790348812743062163045103053930984793,b'sha256WithRSAEncryption',b'20210227045904Z',b'20201129045904Z',Other,https://anazon.cojp.xswcc.xyz/403.html
96,,,anazon.cojp.xswcc.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,353943790348812743062163045103053930984793,b'sha256WithRSAEncryption',b'20210227045904Z',b'20201129045904Z',Other,https://anazon.cojp.xswcc.xyz/
97,,,autodiscover.hypelocal.in,US,Let's Encrypt,Let's Encrypt Authority X3,2,410078261789683274435204079560058261260036,b'sha256WithRSAEncryption',b'20210106070118Z',b'20201008070118Z',Other,https://hypelocal.in/megam/a/d/
98,,,loyalecat.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,277456428864238056752793016919326282645,b'sha256WithRSAEncryption',b'20210113235959Z',b'20201015000000Z',Other,https://loyalecat.com/KO/supt/deliveryund/,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
99,,,my.jcb.co.jp.xsltjt.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,313797582813373386061991582732535653587373,b'sha256WithRSAEncryption',b'20210227041222Z',b'20201129041222Z',Other,https://my.jcb.co.jp.xsltjt.com/
100,,,bizsugar.ga,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,26968353339938263322780882162401885701,b'sha256WithRSAEncryption',b'20201216235959Z',b'20191217000000Z',Other,https://bizsugar.ga/index.html?UYgTFcRWaeSxDXfCgVhbJNJNinHgbvFtdcRXSEzXgrdhCFTgvHBJNIhgYFctvg
101,,,wordpresscommunity.tk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,119553353875153559266914012633463446932,b'sha256WithRSAEncryption',b'20201214235959Z',b'20191215000000Z',Other,https://wordpresscommunity.tk/index.html?UYgTFcRWaeSxDXfCgVhbJNJNinHgbvFtcdRXSEzXgrdhCFTgvBHJNIhgYFctvg
102,,,a3s5c4d6a5s4d65asd45c6a7.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,383728156063534851095792949732577392406411,b'sha256WithRSAEncryption',b'20210227133432Z',b'20201129133432Z',Other,https://www.amazon.account-update.amazon.co.jp.a3s5c4d6a5s4d65asd45c6a7.xyz/
103,,,unusual-activity-natwest.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,177080678098186327773469160496005952066,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201127000000Z',Other,https://www.unusual-activity-natwest.com/Login.php
104,,,fb-swap-wheels-trade.club,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,158461849886455879850573735401318063925,b'sha256WithRSAEncryption',b'20211125235959Z',b'20201125000000Z',Other,http://fb-swap-wheels-trade.club/
105,,,fb-swap-wheels-trade.club,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,158461849886455879850573735401318063925,b'sha256WithRSAEncryption',b'20211125235959Z',b'20201125000000Z',Other,https://fb-swap-wheels-trade.club/
106,,,onlinebankinginfo-signin.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,209727802454953564755800184300184297650,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.onlinebankinginfo-signin.com/Login.php
