11,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,14899338422106154935954618156544858699,b'ecdsa-with-SHA256',b'20210812120000Z',b'20200812000000Z',ABSA Bank,https://www.bepassion.com/mtab/sumc.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
12,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://orangs.webador.com/
13,,,geovanda.net,US,Let's Encrypt,Let's Encrypt Authority X3,2,391003774551316507877944783558928445431641,b'sha256WithRSAEncryption',b'20210209091134Z',b'20201111091134Z',Other,https://geovanda.net/
14,,,goindiaearn.com,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,10140321947869275158,b'sha256WithRSAEncryption',b'20220218163435Z',b'20200218163435Z',Virustotal,https://goindiaearn.com/,"http://crl.godaddy.com/gdig2s1-1731.crl
"
30,,,cpanel.onelconsults.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,431496826346508247417532697207224929792978,b'sha256WithRSAEncryption',b'20210204091900Z',b'20201106091900Z',Other,https://onelconsults.com/sun/office/
31,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://clouddoc-authorize.firebaseapp.com/...xxx...,"http://crl.pki.goog/GTS1O1.crl
"
32,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://clouddoc-authorize.firebaseapp.com/......xx...,"http://crl.pki.goog/GTS1O1.crl
"
33,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://docsharex-authorize.firebaseapp.com/...x...x,"http://crl.pki.goog/GTS1O1.crl
"
34,,,smokefreehousingny.org,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,170574462362925011851579746205711620536,b'sha256WithRSAEncryption',b'20210115235959Z',b'20201017000000Z',Other,https://smokefreehousingny.org/haha/.........,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
35,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://clouddoc-authorize.firebaseapp.com/.........x...,"http://crl.pki.goog/GTS1O1.crl
"
36,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://docsharex-authorize.firebaseapp.com/xx...x,"http://crl.pki.goog/GTS1O1.crl
"
37,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/...xx,"http://crl.pki.goog/GTS1O1core.crl
"
38,,,dhlvideo.id,US,Let's Encrypt,Let's Encrypt Authority X3,2,393706579474935576119928463216886587621882,b'sha256WithRSAEncryption',b'20210201020759Z',b'20201103020759Z',Other,https://dhlvideo.id/login....
39,,,dhlvideo.id,US,Let's Encrypt,Let's Encrypt Authority X3,2,393706579474935576119928463216886587621882,b'sha256WithRSAEncryption',b'20210201020759Z',b'20201103020759Z',Other,https://dhlvideo.id/login.....
40,,,dhlvideo.id,US,Let's Encrypt,Let's Encrypt Authority X3,2,393706579474935576119928463216886587621882,b'sha256WithRSAEncryption',b'20210201020759Z',b'20201103020759Z',Other,http://dhlvideo.id/login.....
41,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/x......,"http://crl.pki.goog/GTS1O1core.crl
"
42,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/xxx,"http://crl.pki.goog/GTS1O1core.crl
"
43,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/...x...,"http://crl.pki.goog/GTS1O1core.crl
"
44,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/x...x,"http://crl.pki.goog/GTS1O1core.crl
"
45,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://8123556-dot-glexcel2.uk.r.appspot.com/.........,"http://crl.pki.goog/GTS1O1core.crl
"
46,,,littlefoots.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,269305335799505569454720306551434278268868,b'sha256WithRSAEncryption',b'20201204234545Z',b'20200905234545Z',Other,https://littlefoots.ru/88fe16817661a4293491e1c71d2c100d/
47,,,littlefoots.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,269305335799505569454720306551434278268868,b'sha256WithRSAEncryption',b'20201204234545Z',b'20200905234545Z',Other,http://littlefoots.ru/litttle.php.........
48,,,secure-online-devices.co.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,48428074250978749112525507363404180118,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://www.secure-online-devices.co.uk/Login.php
49,,,secure-mylogin.live,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,309864451243245776368683877793438402518,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://www.secure-mylogin.live/Login.php
50,,,niagararestoration.org,US,Let's Encrypt,Let's Encrypt Authority X3,2,300228135110097874076591484987064613776284,b'sha256WithRSAEncryption',b'20210127071430Z',b'20201029071430Z',Other,https://niagararestoration.org/OneDrive/Sarver/
51,,,mail.solmarv.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,299550214525159109853846791266670098243154,b'sha256WithRSAEncryption',b'20210201102922Z',b'20201103102922Z',Other,https://solmarv.com/wp-includes/fax/yahoologin/ylogin/
52,,,activacionesabc-zonasegvuracovic-19bn.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,54605797458196372093932336298412432488,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,http://activacionesabc-zonasegvuracovic-19bn.xyz/
53,,,activacionesabc-zonasegvuracovic-19bn.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,54605797458196372093932336298412432488,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://activacionesabc-zonasegvuracovic-19bn.xyz/BNlWeb/lnicio/logins.do
54,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://s9u8b994.firebaseapp.com/,"http://crl.pki.goog/GTS1O1.crl
"
55,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,http://s9u8b994.firebaseapp.com/,"http://crl.pki.goog/GTS1O1.crl
"
56,,,payeesafemanagement.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,236913567406804205765666042598884406345,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://payeesafemanagement.com/halifax/Login.php
57,,,payeesafemanagement.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,236913567406804205765666042598884406345,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,http://payeesafemanagement.com/halifax
58,,,sequelsloft.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,201869902302734926500569149370360477306,b'sha256WithRSAEncryption',b'20210214235959Z',b'20201116000000Z',Other,https://sequelsloft.com/td/e.htm,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
59,,,theuniversitystore.in,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,15570491839098620138,b'sha256WithRSAEncryption',b'20201213074819Z',b'20191213074819Z',Other,https://theuniversitystore.in/wp-content/languages/Secured/webmail/,"http://crl.godaddy.com/gdig2s1-1576.crl
"
60,,,theuniversitystore.in,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,15570491839098620138,b'sha256WithRSAEncryption',b'20201213074819Z',b'20191213074819Z',Other,http://theuniversitystore.in/wp-content/languages/Secured/webmail,"http://crl.godaddy.com/gdig2s1-1576.crl
"
61,,,amazon-mail.biz,US,Let's Encrypt,Let's Encrypt Authority X3,2,351568341394004402752615486390171209629254,b'sha256WithRSAEncryption',b'20210204075623Z',b'20201106075623Z',Other,http://amazon-mail.biz/pc
62,,,payeesecuritysafe-help.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,275865665595597699443855740038933440423,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://payeesecuritysafe-help.com/halifax/
63,,,payeesecuritysafe-help.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,275865665595597699443855740038933440423,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://payeesecuritysafe-help.com/halifax/
64,,,securemanage-payeehelp.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,51403243481091587331177346169827477765,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://securemanage-payeehelp.com/halifax/
65,,,securemanage-payeehelp.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,51403243481091587331177346169827477765,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://securemanage-payeehelp.com/halifax/Login.php
66,,,securemanage-payeehelp.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,51403243481091587331177346169827477765,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://securemanage-payeehelp.com/halifax/
67,,,clinicadelaobesidad.pe,US,Let's Encrypt,Let's Encrypt Authority X3,2,420756187694794231675230956317939864666871,b'sha256WithRSAEncryption',b'20210126072630Z',b'20201028072630Z',Other,https://clinicadelaobesidad.pe/wp-content/themes/twentytwenty/dw/
68,,,clinicadelaobesidad.pe,US,Let's Encrypt,Let's Encrypt Authority X3,2,420756187694794231675230956317939864666871,b'sha256WithRSAEncryption',b'20210126072630Z',b'20201028072630Z',Other,https://clinicadelaobesidad.pe/wp-content/themes/twentytwenty/dw
69,,,cor.digitalwavesmedia.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,268547580987478285671127632055964102960410,b'sha256WithRSAEncryption',b'20210209164044Z',b'20201111164044Z',Other,https://cor.digitalwavesmedia.com/https/www/wellsfargo.com/wellsfargo/wellsfargo/identity.php?cmd=login_submit&amp;id=9efd3b767c7a40bada714fe82777c75d9efd3b767c7a40bada714fe82777c75d&amp;session=9efd3b767c7a40bada714fe82777c75d9efd3b767c7a40bada714fe82777c75d
70,,,cor.digitalwavesmedia.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,268547580987478285671127632055964102960410,b'sha256WithRSAEncryption',b'20210209164044Z',b'20201111164044Z',Other,https://cor.digitalwavesmedia.com/https/www/wellsfargo.com/wellsfargo/wellsfargo/index.htm?cmd=login_submit&id=2f1859c6713a97fac275f63a18b194a92f1859c6713a97fac275f63a18b194a9&session=2f1859c6713a97fac275f63a18b194a92f1859c6713a97fac275f63a18b194a9
71,,,cor.digitalwavesmedia.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,268547580987478285671127632055964102960410,b'sha256WithRSAEncryption',b'20210209164044Z',b'20201111164044Z',Other,https://cor.digitalwavesmedia.com/https/www/wellsfargo.com/wellsfargo/wellsfargo/
72,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://sckbknwhmivzrwummcjltxewvfotsfaphrmr-dot-woven-perigee-290416.uk.r.appspot.com/,"http://crl.pki.goog/GTS1O1core.crl
"
73,,,chat-hali-fax.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,210391488720302169056028356352029008888,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://chat-hali-fax.com/Login.php
74,,,twrareskinfuel.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,131848761411155261694551443669937086725,b'sha256WithRSAEncryption',b'20210217235959Z',b'20201119000000Z',Other,https://twrareskinfuel.com/Chase/fication.html?eventual-chase-international-dashboard9379487-jhbg76389=,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
75,,,darulquranonline.net,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,257299460034800938495320193184507829540,b'sha256WithRSAEncryption',b'20210217235959Z',b'20201119000000Z',Other,https://darulquranonline.net/td/e.htm,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
76,,,payeesecuritysafe-help.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,275865665595597699443855740038933440423,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://payeesecuritysafe-help.com/halifax/Login.php
77,,,www.theuniversityoftomorrow.org,US,Let's Encrypt,Let's Encrypt Authority X3,2,331792224613188443663281591941368045334942,b'sha256WithRSAEncryption',b'20210207065640Z',b'20201109065640Z',Other,https://theuniversityoftomorrow.org/images/gallery/user1/linkedin.com/LinkedIn/
78,,,francoferrari.info,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,333169075655809161519832318565928346680,b'sha256WithRSAEncryption',b'20210218235959Z',b'20201120000000Z',Other,https://francoferrari.info/index.php?email=%0%,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
79,,,o2-updateinformation.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,73375812110175099271081225680578729218,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://o2-updateinformation.com/login.php
80,,,o2-updateinformation.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,73375812110175099271081225680578729218,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://o2-updateinformation.com/
81,,,cancelpayeeonline.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,67354371298172697604518642603929101393,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://cancelpayeeonline.com/Login.php
82,,,cancelpayeeonline.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,67354371298172697604518642603929101393,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://cancelpayeeonline.com/
83,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,17108122393018385522783828639452156759,b'ecdsa-with-SHA256',b'20211117235959Z',b'20201118000000Z',Other,http://register-device-halifax.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
84,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,17108122393018385522783828639452156759,b'ecdsa-with-SHA256',b'20211117235959Z',b'20201118000000Z',Other,https://register-device-halifax.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
85,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,17108122393018385522783828639452156759,b'ecdsa-with-SHA256',b'20211117235959Z',b'20201118000000Z',Other,https://register-device-halifax.com/Login.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
86,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,7947728878787003897717232540486818565,b'ecdsa-with-SHA256',b'20211118235959Z',b'20201119000000Z',Other,https://liveteam-halifax.com/Login.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
87,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,7947728878787003897717232540486818565,b'ecdsa-with-SHA256',b'20211118235959Z',b'20201119000000Z',Other,https://liveteam-halifax.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
88,,,declined-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,76109544451699260649901079064860913583,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://declined-payee.com/
89,,,payeeserviceuk.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,16201381424478978056964087227788063379,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://payeeserviceuk.com/
90,,,lloydcancelpayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,298137857540810465378947196698107284428,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://lloydcancelpayee.com/Login.php
91,,,lloydcancelpayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,298137857540810465378947196698107284428,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://lloydcancelpayee.com/
92,,,cancel-mypayees.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,59138733455997938094256861917627010172,b'sha256WithRSAEncryption',b'20211118235959Z',b'20201118000000Z',Other,http://cancel-mypayees.com/
93,,,payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188868725040539737835196271269753768576,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://payee-changes.com/
94,,,cancel-mypayees.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,59138733455997938094256861917627010172,b'sha256WithRSAEncryption',b'20211118235959Z',b'20201118000000Z',Other,https://cancel-mypayees.com/
95,,,payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188868725040539737835196271269753768576,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://payee-changes.com/Login.php
96,,,payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188868725040539737835196271269753768576,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://payee-changes.com/
97,,,validate-unauthorise-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,99735480692002204338822703532405109528,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://validate-unauthorise-payee.com/
98,,,validate-unauthorise-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,99735480692002204338822703532405109528,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://validate-unauthorise-payee.com/Login.php
99,,,validate-unauthorise-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,99735480692002204338822703532405109528,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://validate-unauthorise-payee.com/
100,,,declinepayee-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,109711239639165961504764947886166128702,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://declinepayee-online.com/
101,,,declinepayee-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,109711239639165961504764947886166128702,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://declinepayee-online.com/Login.php
102,,,declinepayee-online.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,109711239639165961504764947886166128702,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://declinepayee-online.com/
103,,,my-payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,260475944721168996498850923773947399066,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://my-payee-changes.com/
104,,,my-payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,260475944721168996498850923773947399066,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,http://my-payee-changes.com/
105,,,my-payee-changes.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,260475944721168996498850923773947399066,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://my-payee-changes.com/Login.php
106,,,littlefoots.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,269305335799505569454720306551434278268868,b'sha256WithRSAEncryption',b'20201204234545Z',b'20200905234545Z',Other,https://littlefoots.ru/00b699ac5beff504d1d7968bf5e7c5fd/
107,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,16003589361110807177419450126394833758,b'ecdsa-with-SHA256',b'20211119235959Z',b'20201120000000Z',Other,http://halifax-registered-devices.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
108,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,16003589361110807177419450126394833758,b'ecdsa-with-SHA256',b'20211119235959Z',b'20201120000000Z',Other,https://halifax-registered-devices.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
