2,,,jurlebedev.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,384401195725433461728219761991859722385141,b'sha256WithRSAEncryption',b'20201231020304Z',b'20201002020304Z',Other,https://jurlebedev.ru/wp-content/languages/BPD/Popularenlinea/Home.html
3,,,citacrsucursales.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,398958487772549625542225963653940622666347,b'sha256WithRSAEncryption',b'20210208152405Z',b'20201110152405Z',Other,https://citacrsucursales.com/
4,,,services.runescape.com-acceptgift.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,288939375618447643205540194058048111842311,b'sha256WithRSAEncryption',b'20210209153740Z',b'20201111153740Z',Other,https://services.runescape.com-acceptgift.xyz/
5,,,blackwood.biz.ua,US,Let's Encrypt,Let's Encrypt Authority X3,2,307435156863807950990901960805022353319386,b'sha256WithRSAEncryption',b'20210105175800Z',b'20201007175800Z',Internal Revenue Service,https://blackwood.biz.ua/irswin.html#11
36,,,removedevice-h-plc.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,234169198226787617124181520679777934401,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://halifax.new.removedevice-h-plc.com/
37,,,remove-device-h-plc-info.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,313967301849966815554401611940585509400,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://remove-device-h-plc-info.com/Login.php
38,,,remove-device-h-plc-info.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,313967301849966815554401611940585509400,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://halifax.new.remove-device-h-plc-info.com/
39,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://tbzgmpfqtysiqddafmfuvzwrauqsgfqcqaxu-dot-offglen.uk.r.appspot.com/
40,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://jwmczoytjysgdcumwmzawtyfjwqljllszyxd-dot-offglen.uk.r.appspot.com/
41,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://sqxvlyyyljcrkpjnpyzfpznxixyuxkyujfhc-dot-offglen.uk.r.appspot.com/
42,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://sqxvlyyyljcrkpjnpyzfpznxixyuxkyujfhc-dot-offglen.uk.r.appspot.com/
43,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://jjhqdsztekwcuxgacgilaxnpmdhhcjwvjqml-dot-offglen.uk.r.appspot.com/
44,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://jjhqdsztekwcuxgacgilaxnpmdhhcjwvjqml-dot-offglen.uk.r.appspot.com/
45,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://qncogushkdvtmaynhrmpckmcrautyioanjkh-dot-offglen.uk.r.appspot.com/
46,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://jcmmtrpdyvkulwkkrascbbylzauanusosdis-dot-offglen.uk.r.appspot.com/
47,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://jcmmtrpdyvkulwkkrascbbylzauanusosdis-dot-offglen.uk.r.appspot.com/
48,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://zdjlydpjhspradgw-dot-mnospot.ts.r.appspot.com/
49,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://zdjlydpjhspradgw-dot-mnospot.ts.r.appspot.com/
50,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://dfdtjrkhmybkmcicbhkmedbgjznilnxkpsuk-dot-offglen.uk.r.appspot.com/
51,,,mail.preservationaction.org,US,Let's Encrypt,Let's Encrypt Authority X3,2,297234445868501714069820047590701253610288,b'sha256WithRSAEncryption',b'20210112185117Z',b'20201014185117Z',Other,https://preservationaction.org/wp-content/1/
52,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://aoliglhxjeawioyljobdvdfhkkgrfikfcvjp-dot-offglen.uk.r.appspot.com/
53,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://ijegwzuippfuwhdmatudclcsdvxavwpcfbdx-dot-offglen.uk.r.appspot.com/
54,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://ijegwzuippfuwhdmatudclcsdvxavwpcfbdx-dot-offglen.uk.r.appspot.com/
55,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://jmhimsstneahuqsejgslaqskpgsaxnlfutnn-dot-offglen.uk.r.appspot.com/
56,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://jmhimsstneahuqsejgslaqskpgsaxnlfutnn-dot-offglen.uk.r.appspot.com/
57,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://ozsscorvqczwkdudwfvsyswxldeaxacezvmz-dot-offglen.uk.r.appspot.com/
58,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://sbctlbikdggibsadcfmfmmyhnenzhlmwuqlm-dot-offgl8876899977678.uk.r.appspot.com/
59,,,nonstopchampionship.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,167592943273976395420327197061781297956,b'sha256WithRSAEncryption',b'20210205235959Z',b'20201107000000Z',"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
",Other,https://nonstopchampionship.com/document/
60,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://wrmlavdojebkkeobebmmwmuakhaczdlchxdj-dot-offglen.uk.r.appspot.com/
61,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://rfgfdnegbmoswnkazhzxuwxhhdjnttopcdbm-dot-offglen.uk.r.appspot.com/
62,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://rfgfdnegbmoswnkazhzxuwxhhdjnttopcdbm-dot-offglen.uk.r.appspot.com/
63,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',"http://crl.pki.goog/GTS1O1.crl
",Other,https://clouddoc-authorize.firebaseapp.com/...
64,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',"http://crl.pki.goog/GTS1O1.crl
",Other,https://clouddoc-authorize.firebaseapp.com/x
65,,,halifax.authoriselogins.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,101636232988693100135902747046822634009,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://www.halifax.authoriselogins.com/Login.php
66,,,www.apple.com-ios.tw,CN,"TrustAsia Technologies, Inc.",TrustAsia TLS ECC CA,2,15660399691019841031634977436653150289,b'ecdsa-with-SHA256',b'20211102235959Z',b'20201103000000Z',Other,https://www.apple.com-ios.tw/find/
67,,,www.apple.com-ios.tw,CN,"TrustAsia Technologies, Inc.",TrustAsia TLS ECC CA,2,15660399691019841031634977436653150289,b'ecdsa-with-SHA256',b'20211102235959Z',b'20201103000000Z',Other,https://www.apple.com-ios.tw/find
68,,,www.apple.com-ios.tw,CN,"TrustAsia Technologies, Inc.",TrustAsia TLS ECC CA,2,15660399691019841031634977436653150289,b'ecdsa-with-SHA256',b'20211102235959Z',b'20201103000000Z',Other,https://www.apple.com-ios.tw/index.asp
69,,,halifax.nationwide-security.live,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,94770134125312731662418366885674098203,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://www.halifax.nationwide-security.live/Login.php
70,US,Google LLC,web.app,US,Google Trust Services,GTS CA 1O1,2,2839227606052631490449856778236829062,b'sha256WithRSAEncryption',b'20210414223023Z',b'20200415223023Z',"http://crl.pki.goog/GTS1O1.crl
",Other,http://yhyumip0.web.app/
71,US,Google LLC,web.app,US,Google Trust Services,GTS CA 1O1,2,2839227606052631490449856778236829062,b'sha256WithRSAEncryption',b'20210414223023Z',b'20200415223023Z',"http://crl.pki.goog/GTS1O1.crl
",Other,https://yhyumip0.web.app/
72,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://sfiejkbbdobkufow-dot-mnospot.ts.r.appspot.com/
73,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://sfiejkbbdobkufow-dot-mnospot.ts.r.appspot.com/
74,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://zfvjgnuygryjqsafpddjflsmaesynalvzusa-dot-offglen.uk.r.appspot.com/x
75,,,lloydsbankplc.secure-new-dev-login.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,268456214907763935267828836130996975876,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://lloydsbankplc.secure-new-dev-login.com/
76,,,lloydsbankplc.secure-new-dev-login.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,268456214907763935267828836130996975876,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://lloydsbankplc.secure-new-dev-login.com/Login.php
77,,,lloydsbankplc.secure-new-dev-login.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,268456214907763935267828836130996975876,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://lloydsbankplc.secure-new-dev-login.com/
78,US,"Amazon.com, Inc.",www.amazon.co.jp,US,DigiCert Inc,DigiCert Global CA G2,2,16678971350951323736723058489889376618,b'sha256WithRSAEncryption',b'20210627120000Z',b'20200713000000Z',"http://crl4.digicert.com/DigiCertGlobalCAG2.crl
",Other,http://148.66.17.82/ap/signin?key=a@b.c&amp;openid.assoc_handle=jpflex&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.mode=checkid_setup&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;openid.pape.max_auth_age=0&amp;openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&amp;ref_=nav_em_hd_clc_signin
79,,,lloydsplc.auth-secure-verify-dev.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,93954498666310884371907534358197188476,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://lloydsplc.auth-secure-verify-dev.com/
80,,,lloydsplc.auth-secure-verify-dev.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,93954498666310884371907534358197188476,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://lloydsplc.auth-secure-verify-dev.com/
81,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,11328511475258006432695668238406750813,b'ecdsa-with-SHA256',b'20210712120000Z',b'20200712000000Z',"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
",Other,https://trumarkurban.com/Indin/linkedIn/linkedIn%20(1)/linkedIn%20(1)/LinkedIn.html
82,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://uxtfmzagbdgzliqoqbyklsgsxqnvevvmrlxd-dot-offglen.uk.r.appspot.com/
83,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://uxtfmzagbdgzliqoqbyklsgsxqnvevvmrlxd-dot-offglen.uk.r.appspot.com/
84,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://mltdolnglexkrnknkcndcvwfepuxwetirghk-dot-offglen.uk.r.appspot.com/
85,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://mltdolnglexkrnknkcndcvwfepuxwetirghk-dot-offglen.uk.r.appspot.com/
86,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://lqzbxumofcdakzibgrrfhhyidybgtihdubvr-dot-offglen.uk.r.appspot.com/
87,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://lqzbxumofcdakzibgrrfhhyidybgtihdubvr-dot-offglen.uk.r.appspot.com/
88,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://furvahkubmlaqdbxztvdpmzjugzmyoromnmt-dot-offglen.uk.r.appspot.com/
89,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://nbgzwvrfsxicboglpszbftuazpewdvahnkzw-dot-offglen.uk.r.appspot.com/
